iter	Passed	Remaining
675	955	457
676	956	456
677	957	454
678	958	453
679	959	451
680	960	449
681	961	448
682	962	446
683	963	445
684	965	444
685	966	442
686	967	440
687	968	439
688	970	437
689	971	436
690	972	434
691	973	433
692	974	431
693	975	430
694	976	428
695	977	426
696	978	425
697	980	424
698	981	422
699	982	420
700	983	419
701	984	417
702	985	416
703	986	414
704	987	413
705	988	411
706	989	410
707	990	408
708	991	406
709	992	405
710	994	404
711	995	402
712	996	401
713	997	399
714	998	398
715	999	396
716	1000	395
717	1001	393
718	1003	391
719	1004	390
720	1005	388
721	1006	387
722	1007	386
723	1008	384
724	1010	383
725	1011	381
726	1012	380
727	1013	378
728	1014	377
729	1015	375
730	1016	374
731	1017	372
732	1019	371
733	1019	369
734	1020	368
735	1022	366
736	1024	365
737	1025	364
738	1026	362
739	1027	361
740	1028	359
741	1030	358
742	1031	356
743	1032	355
744	1033	353
745	1034	352
746	1035	350
747	1036	349
748	1038	347
749	1039	346
750	1040	344
751	1041	343
752	1042	342
753	1043	340
754	1044	339
755	1046	337
756	1046	336
757	1048	334
758	1049	333
759	1050	331
760	1052	330
761	1053	328
762	1054	327
763	1055	326
764	1056	324
765	1057	323
766	1058	321
767	1059	320
768	1060	318
769	1062	317
770	1063	315
771	1064	314
772	1065	312
773	1066	311
774	1067	309
775	1068	308
776	1069	307
777	1071	305
778	1072	304
779	1073	302
780	1074	301
781	1075	299
782	1076	298
783	1077	296
784	1078	295
785	1080	294
786	1081	292
787	1082	291
788	1083	289
789	1084	288
790	1085	286
791	1086	285
792	1087	283
793	1088	282
794	1089	280
795	1090	279
796	1091	278
797	1092	276
798	1094	275
799	1095	273
800	1096	272
801	1097	270
802	1098	269
803	1099	268
804	1100	266
805	1101	265
806	1103	263
807	1104	262
808	1105	260
809	1106	259
810	1107	258
811	1108	256
812	1109	255
813	1110	253
814	1111	252
815	1112	250
816	1113	249
817	1114	247
818	1115	246
819	1116	245
820	1117	243
821	1119	242
822	1120	240
823	1121	239
824	1122	238
825	1123	236
826	1124	235
827	1126	233
828	1127	232
829	1128	231
830	1129	229
831	1130	228
832	1131	226
833	1132	225
834	1133	224
835	1135	222
836	1136	221
837	1137	219
838	1138	218
839	1139	217
840	1141	215
841	1142	214
842	1143	212
843	1144	211
844	1145	210
845	1146	208
846	1147	207
847	1148	205
848	1149	204
849	1151	203
850	1152	201
851	1153	200
852	1154	198
853	1155	197
854	1156	196
855	1157	194
856	1158	193
857	1159	191
858	1160	190
859	1162	189
